IQs over time	Ronny	Sally	Timmy	Jenny	Billy	Jerry	Mary	Tammy	Jimmy	Tommy	Bobby	Terry	Betty	Lori	Bessie
2018-01-01	148.61461	63.853912	10.327454	36.775818	94.33249	80.10075	100.75567	88.03526	137.40555	115.99496	71.41058	167.75818	39.168762	126.95214	115.99496
2018-01-02	148.36272	63.60202	10.201508	36.901764	94.71033	79.722916	100.62972	87.78337	137.40555	116.1209	71.15869	167.63225	39.042816	127.07809	114.987404
2018-01-03	148.11084	63.224182	10.075562	36.901764	95.08816	79.47103	100.37783	87.53149	137.40555	116.24685	70.9068	167.5063	38.790924	127.20403	114.231735
2018-01-04	147.85895	62.846344	9.949631	37.02771	95.465996	79.09319	100.125946	87.279594	137.40555	116.24685	70.78087	167.38036	38.664978	127.32998	113.35012
2018-01-05	147.60706	62.594467	9.823685	37.153656	95.96977	78.71536	100	87.0277	137.40555	116.372795	70.52898	167.12846	38.4131	127.45592	112.59445
2018-01-06	147.48111	62.21663	9.697739	37.279587	96.3476	78.46347	99.874054	86.77582	137.40555	116.49874	70.277084	167.00252	38.287155	127.58186	111.83879
2018-01-07	147.22922	61.83879	9.571793	37.405533	96.72544	78.08564	99.62217	86.523926	137.2796	116.62468	70.02519	167.00252	38.16121	127.70781	111.20907
2018-01-08	146.97733	61.460953	9.445847	37.53148	97.22922	77.7078	99.49622	86.39798	137.2796	116.62468	69.7733	166.87657	38.035263	127.9597	110.4534
2018-01-09	146.72543	61.209076	9.193954	37.657425	97.607056	77.45592	99.24433	86.146095	137.2796	116.750626	69.52141	166.75063	37.909317	128.08563	109.82368
2018-01-10	146.47354	60.957184	9.068008	37.78337	98.11083	77.07808	99.118385	85.8942	137.2796	116.750626	69.26953	166.75063	37.78337	128.21158	109.193954
2018-01-11	146.22166	60.579346	8.942062	37.909317	98.48866	76.82619	98.99245	85.76826	137.2796	116.750626	69.01764	166.75063	37.657425	128.33752	108.69018
2018-01-12	145.96977	60.327454	8.816116	38.035263	98.99245	76.44836	98.8665	85.51637	137.2796	116.87657	68.76575	166.87657	37.53148	128.46347	108.1864
2018-01-13	145.71788	60.07556	8.690186	38.287155	99.37028	76.196465	98.61461	85.26448	137.15366	116.87657	68.513855	167.00252	37.405533	128.71536	107.682625
2018-01-14	145.466	59.94963	8.5642395	38.4131	99.874054	75.818634	98.48866	85.01259	137.15366	116.87657	68.26196	167.25441	37.405533	128.84131	107.30479
2018-01-15	145.21411	59.69774	8.438293	38.539047	100.37783	75.56674	98.36272	84.88664	137.15366	116.87657	68.010086	167.38036	37.279587	128.96725	106.80101
